len,entropy,digit_p,alpha_p,vowel_p,special_p,sub_count,max_cons,query,label,attack_tag,qtype,llm_prediction,llm_reasoning
35,4.14,0.152,0.848,0.212,0.0,2,4,x3d8aozhmmo4tpxc5qml9k.attacco.test,1,2,A,2,"Il record è di tipo A, ma la parte sinistra del dominio è una stringa casuale di 23 caratteri con entropia 4.14, tipica di domini generati da algoritmo DGA; la lunghezza non è estrema né è usato TXT, quindi non è tunneling.  

CLASSE: 2"
58,4.47,0.179,0.8210000000000001,0.232,0.0,2,4,8avhoz0qwpepyxe4vuovzdp1s1pfdpogu6v8xpeb81xg9.attacco.test,1,2,A,2,"Il record è di tipo A, tipico di traffico legittimo, ma il sottodominio è molto lungo (58 caratteri) e presenta alta entropia (4,47) con sequenze apparentemente casuali, caratteristica di domini generati da DGA.  
CLASSE: 2"
27,3.927,0.5,0.455,0.182,0.045,5,3,174.203.59.186.in-addr.arpa,0,0,A,0,"Il dominio è una normale reverse‑lookup (IP reverso) con qtype A, lunghezza media e entropia moderata tipica di stringhe leggibili, senza caratteristiche di tunneling, DGA o typo‑squatting.  
CLASSE: 0"
52,4.505,0.12,0.88,0.22,0.0,2,11,yumhenrvf7avwqnpvzmlzb9mc6ut4eu6huz8lqs.attacco.test,1,2,AAAA,1,"La presenza di un record AAAA con un sottodominio di 52 caratteri, alta entropia (4.5) e sequenza di consonanti di 11 indica un payload codificato piuttosto che un normale dominio. L’estrema lunghezza e casualità tipica dei dati incapsulati suggeriscono tunneling / exfiltration.  
CLASSE: 1"
19,3.537,0.0,1.0,0.294,0.0,2,2,musicfactory.com.mx,0,0,AAAA,0,"Il record AAAA, la lunghezza moderata (19) e l’entropia bassa (3.5) indicano un dominio leggibile e strutturato normalmente; i pochi sotto‑domini e l’assenza di caratteri speciali o cifre confermano la tipicità.  

CLASSE: 0"
27,3.556,0.5,0.455,0.182,0.045,5,3,170.104.198.91.in-addr.arpa,0,0,A,0,"Tipo A per query di reverse lookup “in‑addr.arpa”, lunghezza e entropia tipiche di un dominio IP legittimo, senza anomalie strutturali.  
CLASSE: 0"
21,3.654,0.1,0.75,0.25,0.15,1,3,xn--3schoois-ex6f.com,1,3,A,3,"Il record è di tipo A (normale) ma il dominio è in punycode (xn--), tipico di omografi IDN; lunghezza 21 e entropia 3.65 non indicano tunneling né DGA, ma la codifica punycode suggerisce un possibile imposter/typosquatting.  
CLASSE: 3"
28,3.58,0.522,0.435,0.17400000000000002,0.043000000000000003,5,3,115.177.254.201.in-addr.arpa,0,0,A,0,"Il dominio è una tipica zona reverse‑DNS (IP invertito + “in‑addr.arpa”), con molti numeri, entropia bassa e struttura leggibile; il record A è anomalo ma non indica malevolenza.  

CLASSE: 0"
22,3.352,0.2,0.8,0.30000000000000004,0.0,2,2,t8i41fc4i.attacco.test,1,2,A,0,"Tipo A (normale), lunghezza moderata e entropia 3.35 non indicano payload estremi; il dominio contiene parole leggibili (“attacco”, “test”).  
CLASSE: 0"
51,4.304,0.0,1.0,0.188,0.0,3,9,hyztoqcrdzqoxuktfdxzwxxakgvgvh.sandbox.alphasoc.xyz,1,1,TXT,1,"Tipo TXT con payload estremamente lungo (51 caratteri) e alta entropia (4.3), tipico di trasporto di dati codificati; la sequenza di 9 consonanti consecutive conferma la natura non leggibile.  
Queste caratteristiche corrispondono al pattern di tunneling / data‑exfiltration.  

CLASSE: 1"
20,3.746,0.0,1.0,0.353,0.0,3,3,www.solurapid.com.ve,0,0,A,0,"Il record è di tipo A, la lunghezza è moderata (20) e l'entropia (3.746) è tipica di domini leggibili, senza pattern di tunneling o DGA.  
CLASSE: 0"
20,3.784,0.053,0.789,0.105,0.158,1,3,xn--cthelp-bkb7l.com,1,3,A,3,"Il dominio è in punycode (xn--) tipico di IDN usati per typosquatting; la lunghezza moderata (20) e l’entropia 3,78 non indicano tunneling né DGA, e il record A è comune per siti legittimi.  
Pertanto rientra nella classe 3.  
CLASSE: 3"
12,3.085,0.0,1.0,0.364,0.0,1,3,alphasoc.com,0,0,AAAA,0,"Il record AA… (A/AAAA) è tipico di host legittimi; la lunghezza di 12 caratteri e l’entropia bassa (3.08) indicano un nome leggibile.  
Il dominio contiene parole reali (“alpha”, “soc”), nessun numero o carattere speciale, quindi non presenta le anomalie tipiche di tunneling, DGA o typosquatting.  
CLASSE: 0"
20,3.646,0.0,1.0,0.333,0.0,2,4,www.monstropedia.org,0,0,AAAA,0,"Il record è di tipo AA/A (indirizzo), la lunghezza è moderata (20) con entropia bassa (3.6) e il nome è leggibile (parola reale, pochi sottodomini).  
CLASSE: 0"
51,4.515,0.0,1.0,0.25,0.0,3,6,thzusvqzmyokhcrweiilatqevjtzhg.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT di 51 caratteri, con entropia elevata (4.5) e un dominio apparentemente casuale, è tipico di tecniche di tunneling / data exfiltration.  
CLASSE: 1"
15,3.323,0.0,1.0,0.231,0.0,2,3,www.blogdir.com,0,0,A,0,"Il record A, lunghezza moderata (15) e bassa entropia (3.323) indicano un nome leggibile con parole comuni; i sottodomini sono tipici (www).  
CLASSE: 0"
48,4.3870000000000005,0.17400000000000002,0.8260000000000001,0.23900000000000002,0.0,2,4,3tedjhk1ov5vvyr0h7cz1ke7fcopexiucd1.attacco.test,1,2,A,2,"La query è di tipo A (tipico dei domini legittimi o DGA) e la label iniziale è lunga (48 caratteri) con entropia elevata (4,387), tipica di stringhe generate casualmente più che di payload codificati. La struttura a due livelli di sottodomini e l’assenza di record TXT indicano un probabile dominio DGA piuttosto che tunneling o typo‑squatting.  
CLASSE: 2"
14,3.325,0.0,1.0,0.462,0.0,1,2,tkokopedia.com,1,3,A,3,"Il record è di tipo A, con lunghezza moderata (14) e bassa entropia (3.3), tipico di domini legittimi ma con una leggera variazione rispetto a “tokopedia.com”, indicante un possibile typo‑squatting.  
CLASSE: 3"
